amfi_code,alpha,beta,r_squared
118632,112.9864,-0.2849,0.033
118989,185.9504,0.6642,0.1282
118991,407.0559,-1.0691,0.1204
119000,10.826,0.0377,0.0313
119001,11.0848,0.0446,0.0398
119002,10.7912,0.0392,0.0333
119003,11.1604,0.0427,0.0364
119004,26.5696,0.0333,0.0058
119005,18.9716,0.0417,0.0141
119006,107.5738,-0.0254,0.0005
119007,63.2316,0.1579,0.0285
119008,97.3438,0.0482,0.0019
119009,91.9828,0.0558,0.0027
119092,35.656,0.4484,0.1757
119551,112.3742,0.1693,0.0173
119553,123.1366,0.1566,0.0098
119555,58.9737,0.1114,0.0074
119847,75.7031,0.2662,0.0318
119849,183.368,-0.4264,0.06
120503,113.6159,0.2486,0.0305
120505,240.4232,-0.4589,0.0607
120507,177.8547,0.4894,0.0733
120509,37.3809,0.2523,0.0558
120511,154.0506,0.0479,0.0011
120716,118.3066,0.1075,0.0076
120717,151.8892,0.0626,0.0018
120841,75.4208,0.0595,0.0019
120846,215.9949,0.1044,0.0033
120848,216.6358,0.631,0.0875
120850,69.1681,-0.3002,0.0741
125354,127.3508,0.5018,0.1044
125356,148.3089,0.1823,0.0125
125358,222.6864,0.3605,0.0357
125360,99.655,-0.0666,0.0018
125362,86.0782,0.2233,0.0244
125494,87.7381,-0.0119,0.0001
125496,150.8534,0.3492,0.0427
125497,174.7527,0.4312,0.0714
125499,233.7088,-0.0283,0.0002
125501,146.1077,0.1222,0.0069
