amfi_code,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct
118632,-20.5346,1.3238,-5.0628
118989,37.3748,-0.8838,21.3495
118991,8.1344,2.0446,-5.9476
119000,7.5348,0.744,4.0096
119001,7.9403,0.7411,4.1749
119002,7.3311,0.6971,4.0128
119003,7.9045,0.6989,4.1637
119004,15.9044,0.4484,6.8634
119005,7.6688,1.1518,5.7986
119006,45.5289,6.8032,18.827
119007,19.4264,-0.8396,10.7643
119008,16.5835,1.5913,14.467
119009,47.9464,2.0159,12.3188
119092,-19.6433,-2.5998,1.1141
119551,11.0792,1.4149,15.5881
119553,21.9517,4.8629,5.8073
119555,-32.3997,-5.782,-4.4604
119847,-7.0836,-8.0788,-5.9795
119849,-1.6626,4.5167,5.1753
120503,28.9074,4.7831,10.4375
120505,10.9458,0.1951,13.0125
120507,38.4778,0.7986,16.9959
120509,-12.1014,-2.3564,-0.6921
120511,96.0517,13.9329,18.9424
120716,21.73,6.6446,17.8354
120717,52.9221,10.8762,18.2378
120841,-6.0821,-3.4509,-3.8097
120846,26.9474,6.226,21.2243
120848,1.908,3.6725,9.6447
120850,-29.6387,-6.0736,-2.0434
125354,55.6226,7.5069,14.2663
125356,51.0432,2.7181,9.5464
125358,53.4692,6.1927,20.737
125360,12.3976,4.3677,-6.6633
125362,14.5157,-1.7991,2.6114
125494,7.7895,4.8231,2.374
125496,102.0696,6.7777,12.9874
125497,136.6054,8.0036,22.8557
125499,24.8021,-1.8923,24.4036
125501,19.4845,-2.4921,16.6967
