amfi_code,cagr_3yr_pct,sharpe_ratio,volatility_pct,alpha,beta,max_drawdown_pct,scheme_name,fund_house,category,sub_category,expense_ratio_pct,score_3yr,score_sharpe,score_alpha,score_er,score_dd,composite_score,rank
120509,-2.3564,0.23,68.0313,37.3809,0.2523,-38.5738,ICICI Prudential Long Term Equity Direct Growth,ICICI Prudential Mutual Fund,Equity,ELSS,1.18,85.0,82.5,82.5,97.5,77.5,85.0,1
119555,-5.782,0.2757,83.6386,58.9737,0.1114,-48.636,SBI Flexicap Fund Direct Growth,SBI Mutual Fund,Equity,Flexi Cap,0.95,95.0,77.5,80.0,71.25,57.49999999999999,80.3,2
120850,-6.0736,0.228,70.788,69.1681,-0.3002,-35.7245,Kotak Flexicap Fund Direct Growth,Kotak Mahindra Mutual Fund,Equity,Flexi Cap,0.6,97.5,85.0,75.0,32.5,82.5,78.6,3
119847,-8.0788,0.3488,96.5502,75.7031,0.2662,-43.5487,SBI Magnum Midcap Fund Direct Growth,SBI Mutual Fund,Equity,Mid Cap,0.92,100.0,70.0,70.0,67.5,70.0,78.6,4
119092,-2.5998,0.2743,68.1599,35.656,0.4484,-38.1501,Axis Bluechip Fund Direct Growth,Axis Mutual Fund,Equity,Large Cap,0.55,90.0,80.0,85.0,26.25,80.0,75.9,5
119002,0.6971,-0.0571,15.6562,10.7912,0.0392,-17.8807,ICICI Prudential Liquid Fund Direct Growth,ICICI Prudential Mutual Fund,Debt,Liquid,0.2,67.5,97.5,100.0,6.25,100.0,75.6,6
120841,-3.4509,0.309,87.4879,75.4208,0.0595,-40.2629,Kotak Bluechip Fund Direct Growth,Kotak Mahindra Mutual Fund,Equity,Large Cap,0.72,92.5,75.0,72.5,46.25,72.5,75.2,7
119000,0.744,-0.0584,15.5774,10.826,0.0377,-17.8919,HDFC Liquid Fund Direct Growth,HDFC Mutual Fund,Debt,Liquid,0.2,60.0,100.0,97.5,6.25,97.5,73.2,8
119007,-0.8396,0.4028,61.4838,63.2316,0.1579,-45.9081,ICICI Prudential Equity & Debt Fund Direct Growth,ICICI Prudential Mutual Fund,Hybrid,Aggressive Hybrid,1.1,75.0,60.0,77.5,90.0,65.0,73.0,9
119003,0.6989,-0.039,16.2467,11.1604,0.0427,-18.3956,Nippon India Liquid Fund Direct Growth,Nippon India Mutual Fund,Debt,Liquid,0.22,65.0,95.0,92.5,10.0,95.0,72.8,10
119004,0.4484,0.1904,30.2932,26.5696,0.0333,-29.4339,HDFC Short Term Debt Fund Direct Growth,HDFC Mutual Fund,Debt,Short Duration,0.35,70.0,87.5,87.5,12.5,87.5,71.0,11
119001,0.7411,-0.0382,16.2467,11.0848,0.0446,-18.5147,SBI Liquid Fund Direct Growth,SBI Mutual Fund,Debt,Liquid,0.18,62.5,92.5,95.0,2.5,92.5,70.5,12
119005,1.1518,0.1173,24.4761,18.9716,0.0417,-24.6353,SBI Short Term Debt Fund Direct Growth,SBI Mutual Fund,Debt,Short Duration,0.38,55.00000000000001,90.0,90.0,15.0,90.0,68.2,13
125362,-1.7991,0.3972,89.7333,86.0782,0.2233,-44.9516,Mirae Asset Tax Saver Fund Direct Growth,Mirae Asset Mutual Fund,Equity,ELSS,0.55,80.0,62.5,67.5,26.25,67.5,63.8,14
118632,1.3238,0.3427,98.9718,112.9864,-0.2849,-53.9886,Nippon India Large Cap Fund Direct Growth,Nippon India Mutual Fund,Equity,Large Cap,1.1,52.5,72.5,50.0,90.0,47.5,62.1,15
125494,4.8231,0.365,82.0344,87.7381,-0.0119,-30.8862,HDFC Mid-Cap Opportunities Fund Direct Growth,HDFC Mutual Fund,Equity,Mid Cap,0.87,27.500000000000004,67.5,65.0,56.25,85.0,55.1,16
125501,-2.4921,0.6364,96.1694,146.1077,0.1222,-61.4829,HDFC Flexi Cap Fund Direct Growth,HDFC Mutual Fund,Equity,Flexi Cap,0.9,87.5,32.5,37.5,63.74999999999999,27.500000000000004,54.2,17
119008,1.5913,0.5199,73.0619,97.3438,0.0482,-53.9449,SBI Equity Hybrid Fund Direct Growth,SBI Mutual Fund,Hybrid,Aggressive Hybrid,0.9,47.5,52.5,60.0,63.74999999999999,50.0,53.9,18
119009,2.0159,0.4797,70.8448,91.9828,0.0558,-50.2082,Mirae Asset Hybrid Equity Fund Direct Growth,Mirae Asset Mutual Fund,Hybrid,Aggressive Hybrid,0.58,45.0,57.49999999999999,62.5,30.0,55.00000000000001,50.4,19
119553,4.8629,0.4841,99.6464,123.1366,0.1566,-39.1122,SBI Long Term Equity Fund Direct Growth,SBI Mutual Fund,Equity,ELSS,1.05,25.0,55.00000000000001,42.5,82.5,75.0,49.6,20
120503,4.7831,0.5232,91.9067,113.6159,0.2486,-47.6616,ICICI Prudential Bluechip Fund Direct Growth,ICICI Prudential Mutual Fund,Equity,Large Cap,1.05,30.0,50.0,47.5,82.5,60.0,49.4,21
119551,1.4149,0.5777,84.9848,112.3742,0.1693,-58.8264,SBI Blue Chip Fund Direct Growth,SBI Mutual Fund,Equity,Large Cap,0.89,50.0,45.0,52.5,60.0,32.5,49.0,22
125360,4.3677,0.3672,103.0819,99.655,-0.0666,-55.6685,Axis Small Cap Fund Direct Growth,Axis Mutual Fund,Equity,Small Cap,0.53,35.0,65.0,57.49999999999999,20.0,42.5,45.5,23
118989,-0.8838,0.7661,119.9061,185.9504,0.6642,-71.1932,Nippon India Growth Fund Direct Growth,Nippon India Mutual Fund,Equity,Mid Cap,1.15,77.5,12.5,17.5,95.0,5.0,44.6,24
120505,0.1951,0.7095,118.8657,240.4232,-0.4589,-55.7558,ICICI Prudential Midcap Fund Direct Growth,ICICI Prudential Mutual Fund,Equity,Mid Cap,1.02,72.5,17.5,5.0,77.5,40.0,42.8,25
125356,2.7181,0.5885,104.8236,148.3089,0.1823,-47.0039,Mirae Asset Emerging Bluechip Direct Growth,Mirae Asset Mutual Fund,Equity,Mid Cap,0.69,40.0,40.0,35.0,42.5,62.5,41.6,26
125499,-1.8923,0.8061,117.515,233.7088,-0.0283,-72.9935,HDFC ELSS Tax Saver Direct Growth,HDFC Mutual Fund,Equity,ELSS,1.1,82.5,5.0,7.5,90.0,2.5,41.2,27
120507,0.7986,0.7081,116.5436,177.8547,0.4894,-64.7689,ICICI Prudential Smallcap Fund Direct Growth,ICICI Prudential Mutual Fund,Equity,Small Cap,1.05,57.49999999999999,20.0,22.5,82.5,17.5,40.9,28
