amfi_code,sharpe_ratio,volatility_pct,scheme_name,sub_category,risk_category,expense_ratio_pct
118632,0.5832,153.67,Nippon India Large Cap Fund Direct Growth,Large Cap,Very High,1.1
118989,1.2032,181.81,Nippon India Growth Fund Direct Growth,Mid Cap,Very High,1.15
118991,1.1169,302.0,Nippon India Small Cap Fund Direct Growth,Small Cap,Very High,0.82
119000,0.3136,20.92,HDFC Liquid Fund Direct Growth,Liquid,Low,0.2
119001,0.33,21.88,SBI Liquid Fund Direct Growth,Liquid,Low,0.18
119002,0.3138,21.07,ICICI Prudential Liquid Fund Direct Growth,Liquid,Low,0.2
119003,0.3276,21.94,Nippon India Liquid Fund Direct Growth,Liquid,Low,0.22
119004,0.5135,42.92,HDFC Short Term Debt Fund Direct Growth,Short Duration,Moderate,0.35
119005,0.4343,34.4,SBI Short Term Debt Fund Direct Growth,Short Duration,Moderate,0.38
119006,0.9157,108.74,HDFC Hybrid Equity Fund Direct Growth,Aggressive Hybrid,High,0.8
119007,0.721,91.64,ICICI Prudential Equity & Debt Fund Direct Growth,Aggressive Hybrid,High,1.1
119008,0.8662,108.17,SBI Equity Hybrid Fund Direct Growth,Aggressive Hybrid,High,0.9
119009,0.8383,105.91,Mirae Asset Hybrid Equity Fund Direct Growth,Aggressive Hybrid,High,0.58
119092,0.5312,104.84,Axis Bluechip Fund Direct Growth,Large Cap,Very High,0.55
119551,0.9182,126.22,SBI Blue Chip Fund Direct Growth,Large Cap,Very High,0.89
119553,0.8115,155.15,SBI Long Term Equity Fund Direct Growth,ELSS,Very High,1.05
119555,0.4655,126.88,SBI Flexicap Fund Direct Growth,Flexi Cap,Very High,0.95
119847,0.5809,146.25,SBI Magnum Midcap Fund Direct Growth,Mid Cap,Very High,0.92
119849,0.8888,170.62,SBI Small Cap Fund Direct Growth,Small Cap,Very High,0.72
120503,0.8726,139.62,ICICI Prudential Bluechip Fund Direct Growth,Large Cap,Very High,1.05
120505,1.1332,182.47,ICICI Prudential Midcap Fund Direct Growth,Mid Cap,Very High,1.02
120507,1.1308,177.14,ICICI Prudential Smallcap Fund Direct Growth,Small Cap,Very High,1.05
120509,0.4376,104.69,ICICI Prudential Long Term Equity Direct Growth,ELSS,Very High,1.18
120511,1.0397,144.64,ICICI Prudential Flexicap Fund Direct Growth,Flexi Cap,Very High,0.99
120716,0.9743,121.28,DSP Top 100 Equity Fund Direct Growth,Large Cap,Very High,1.25
120717,1.0173,146.56,DSP Midcap Fund Direct Growth,Mid Cap,Very High,0.87
120841,0.5363,135.07,Kotak Bluechip Fund Direct Growth,Large Cap,Very High,0.72
120846,1.204,179.13,Kotak Emerging Equity Fund Direct Growth,Mid Cap,Very High,0.68
120848,1.1835,209.09,Kotak Small Cap Fund Direct Growth,Small Cap,Very High,0.61
120850,0.4153,108.12,Kotak Flexicap Fund Direct Growth,Flexi Cap,Very High,0.6
125354,0.9893,152.18,Mirae Asset Large Cap Fund Direct Growth,Large Cap,Very High,0.54
125356,0.9554,159.72,Mirae Asset Emerging Bluechip Direct Growth,Mid Cap,Very High,0.69
125358,1.2696,187.08,Axis Midcap Fund Direct Growth,Mid Cap,Very High,0.52
125360,0.5763,154.81,Axis Small Cap Fund Direct Growth,Small Cap,Very High,0.53
125362,0.663,139.96,Mirae Asset Tax Saver Fund Direct Growth,ELSS,Very High,0.55
125494,0.6399,125.86,HDFC Mid-Cap Opportunities Fund Direct Growth,Mid Cap,Very High,0.87
125496,0.9968,165.55,HDFC Small Cap Fund Direct Growth,Small Cap,Very High,0.65
125497,1.2254,158.12,HDFC Top 100 Fund Direct Growth,Large Cap,Very High,0.95
125499,1.2701,177.57,HDFC ELSS Tax Saver Direct Growth,ELSS,Very High,1.1
125501,1.0169,144.4,HDFC Flexi Cap Fund Direct Growth,Flexi Cap,Very High,0.9
