amfi_code,scheme_name,sharpe_ratio,volatility_pct
118632,Nippon India Large Cap Fund Direct Growth,0.3427,98.9718
118989,Nippon India Growth Fund Direct Growth,0.7661,119.9061
118991,Nippon India Small Cap Fund Direct Growth,0.7029,192.7944
119000,HDFC Liquid Fund Direct Growth,-0.0584,15.5774
119001,SBI Liquid Fund Direct Growth,-0.0382,16.2467
119002,ICICI Prudential Liquid Fund Direct Growth,-0.0571,15.6562
119003,Nippon India Liquid Fund Direct Growth,-0.039,16.2467
119004,HDFC Short Term Debt Fund Direct Growth,0.1904,30.2932
119005,SBI Short Term Debt Fund Direct Growth,0.1173,24.4761
119006,HDFC Hybrid Equity Fund Direct Growth,0.5786,74.0123
119007,ICICI Prudential Equity & Debt Fund Direct Growth,0.4028,61.4838
119008,SBI Equity Hybrid Fund Direct Growth,0.5199,73.0619
119009,Mirae Asset Hybrid Equity Fund Direct Growth,0.4797,70.8448
119092,Axis Bluechip Fund Direct Growth,0.2743,68.1599
119551,SBI Blue Chip Fund Direct Growth,0.5777,84.9848
119553,SBI Long Term Equity Fund Direct Growth,0.4841,99.6464
119555,SBI Flexicap Fund Direct Growth,0.2757,83.6386
119847,SBI Magnum Midcap Fund Direct Growth,0.3488,96.5502
119849,SBI Small Cap Fund Direct Growth,0.5367,110.7236
120503,ICICI Prudential Bluechip Fund Direct Growth,0.5232,91.9067
120505,ICICI Prudential Midcap Fund Direct Growth,0.7095,118.8657
120507,ICICI Prudential Smallcap Fund Direct Growth,0.7081,116.5436
120509,ICICI Prudential Long Term Equity Direct Growth,0.23,68.0313
120511,ICICI Prudential Flexicap Fund Direct Growth,0.6557,96.8796
120716,DSP Top 100 Equity Fund Direct Growth,0.6034,82.9177
120717,DSP Midcap Fund Direct Growth,0.6537,98.5486
120841,Kotak Bluechip Fund Direct Growth,0.309,87.4879
120846,Kotak Emerging Equity Fund Direct Growth,0.7745,118.9549
120848,Kotak Small Cap Fund Direct Growth,0.7427,134.7675
120850,Kotak Flexicap Fund Direct Growth,0.228,70.788
125354,Mirae Asset Large Cap Fund Direct Growth,0.6122,100.449
125356,Mirae Asset Emerging Bluechip Direct Growth,0.5885,104.8236
125358,Axis Midcap Fund Direct Growth,0.8173,123.5805
125360,Axis Small Cap Fund Direct Growth,0.3672,103.0819
125362,Mirae Asset Tax Saver Fund Direct Growth,0.3972,89.7333
125494,HDFC Mid-Cap Opportunities Fund Direct Growth,0.365,82.0344
125496,HDFC Small Cap Fund Direct Growth,0.6399,109.9999
125497,HDFC Top 100 Fund Direct Growth,0.7758,105.2217
125499,HDFC ELSS Tax Saver Direct Growth,0.8061,117.515
125501,HDFC Flexi Cap Fund Direct Growth,0.6364,96.1694
