investor_id,avg_gap_days,sip_count,at_risk
INV000001,135.0,7,True
INV000002,157.25,9,True
INV000003,375.3333333333333,4,True
INV000004,282.6666666666667,4,True
INV000005,471.0,3,True
INV000006,140.66666666666666,7,True
INV000007,283.0,4,True
INV000008,335.3333333333333,4,True
INV000009,174.57142857142858,8,True
INV000010,224.33333333333334,7,True
INV000011,162.0,4,True
INV000012,443.5,3,True
INV000013,141.2,6,True
INV000014,225.0,6,True
INV000015,360.0,4,True
INV000016,200.16666666666666,7,True
INV000017,241.5,5,True
INV000018,307.25,5,True
INV000019,396.5,3,True
INV000020,299.25,5,True
INV000021,537.0,3,True
INV000022,343.25,5,True
INV000023,320.5,5,True
INV000024,436.0,3,True
INV000025,403.5,3,True
INV000026,454.0,2,True
INV000028,407.0,3,True
INV000029,239.66666666666666,4,True
INV000030,756.0,2,True
INV000031,127.44444444444444,10,True
INV000032,184.14285714285714,8,True
INV000033,497.5,3,True
INV000034,614.5,3,True
INV000035,337.0,2,True
INV000036,573.5,3,True
INV000037,133.0,2,True
INV000038,195.71428571428572,8,True
INV000039,158.0,7,True
INV000040,173.6,6,True
INV000041,242.75,5,True
INV000042,375.3333333333333,4,True
INV000043,353.5,5,True
INV000044,96.77777777777777,10,True
INV000045,244.75,5,True
INV000046,280.25,5,True
INV000047,150.5,9,True
INV000048,553.0,3,True
INV000049,238.6,6,True
INV000050,163.83333333333334,7,True
INV000051,133.44444444444446,10,True
INV000052,192.5,3,True
INV000053,369.5,3,True
INV000054,415.6666666666667,4,True
INV000055,330.0,2,True
INV000056,174.0,8,True
INV000057,148.77777777777777,10,True
INV000058,357.0,3,True
INV000059,126.28571428571429,8,True
INV000060,291.75,5,True
INV000061,212.5,3,True
INV000062,373.6666666666667,4,True
INV000063,436.0,2,True
INV000064,112.0,4,True
INV000065,143.88888888888889,10,True
INV000066,475.5,3,True
INV000067,265.0,5,True
INV000068,221.0,5,True
INV000069,208.8,6,True
INV000070,280.0,4,True
INV000071,149.0,7,True
INV000072,555.5,3,True
INV000073,232.5,3,True
INV000074,446.0,3,True
INV000075,228.0,2,True
INV000076,175.0,7,True
INV000077,298.0,5,True
INV000078,531.0,3,True
INV000079,266.5,5,True
INV000080,81.5,3,True
INV000081,191.57142857142858,8,True
INV000082,174.14285714285714,8,True
INV000083,320.5,5,True
INV000084,213.0,7,True
INV000085,132.0909090909091,12,True
INV000086,346.0,4,True
INV000087,184.5,7,True
INV000088,111.66666666666667,7,True
INV000089,97.2,6,True
INV000090,190.66666666666666,7,True
INV000091,244.25,5,True
INV000092,231.0,6,True
INV000093,129.8,6,True
INV000094,346.75,5,True
INV000095,112.0,2,True
INV000096,199.0,6,True
INV000097,220.6,6,True
INV000098,136.0,4,True
INV000099,,1,False
INV000100,105.0,4,True
INV000101,883.0,2,True
INV000102,,1,False
INV000103,486.0,3,True
INV000104,221.16666666666666,7,True
INV000105,204.4,6,True
INV000106,237.8,6,True
INV000107,377.0,2,True
INV000108,370.6666666666667,4,True
INV000109,765.0,2,True
INV000110,459.0,3,True
INV000111,287.0,6,True
INV000112,148.0,8,True
INV000113,179.42857142857142,8,True
INV000114,519.0,3,True
INV000115,299.0,5,True
INV000116,208.5,5,True
INV000117,330.25,5,True
INV000118,278.25,5,True
INV000119,59.0,2,True
INV000120,415.0,3,True
INV000121,184.85714285714286,8,True
INV000122,196.42857142857142,8,True
INV000123,154.85714285714286,8,True
INV000124,284.0,6,True
INV000125,181.0,2,True
INV000126,785.0,2,True
INV000128,434.6666666666667,4,True
