amfi_code,sortino_ratio
118632,0.5237
118989,0.8495
118991,1.3512
119000,-0.0232
119001,-0.0152
119002,-0.0226
119003,-0.0155
119004,0.1267
119005,0.0849
119006,0.5566
119007,0.3974
119008,0.495
119009,0.4645
119092,0.3104
119551,0.5993
119553,0.6344
119555,0.3737
119847,0.4467
119849,0.7597
120503,0.6141
120505,0.7479
120507,0.8177
120509,0.3119
120511,0.6989
120716,0.5967
120717,0.705
120841,0.4184
120846,0.8525
120848,0.8997
120850,0.3123
125354,0.6767
125356,0.6801
125358,0.8458
125360,0.5295
125362,0.5468
125494,0.4736
125496,0.7776
125497,0.7358
125499,0.8355
125501,0.6478
