amfi_code,var_95_daily,cvar_95_daily,var_95_annual,scheme_name,sub_category
118632,-8.0539,-13.0346,-127.8513,Nippon India Large Cap Fund Direct Growth,Large Cap
118989,-10.047,-20.4329,-159.4918,Nippon India Growth Fund Direct Growth,Mid Cap
118991,-13.8411,-20.5183,-219.7204,Nippon India Small Cap Fund Direct Growth,Small Cap
119000,-0.0096,-3.4376,-0.1524,HDFC Liquid Fund Direct Growth,Liquid
119001,-0.0069,-3.5846,-0.1091,SBI Liquid Fund Direct Growth,Liquid
119002,-0.0082,-3.4456,-0.1299,ICICI Prudential Liquid Fund Direct Growth,Liquid
119003,-0.0082,-3.5797,-0.1299,Nippon India Liquid Fund Direct Growth,Liquid
119004,-0.9402,-6.3282,-14.9259,HDFC Short Term Debt Fund Direct Growth,Short Duration
119005,-0.6361,-5.1341,-10.0973,SBI Short Term Debt Fund Direct Growth,Short Duration
119006,-6.9921,-14.1216,-110.9957,HDFC Hybrid Equity Fund Direct Growth,Aggressive Hybrid
119007,-5.0821,-11.1733,-80.6753,ICICI Prudential Equity & Debt Fund Direct Growth,Aggressive Hybrid
119008,-4.2248,-12.3517,-67.0661,SBI Equity Hybrid Fund Direct Growth,Aggressive Hybrid
119009,-5.0396,-11.9717,-80.001,Mirae Asset Hybrid Equity Fund Direct Growth,Aggressive Hybrid
119092,-6.6159,-11.5717,-105.0242,Axis Bluechip Fund Direct Growth,Large Cap
119551,-7.4177,-14.2804,-117.7518,SBI Blue Chip Fund Direct Growth,Large Cap
119553,-9.0847,-15.3257,-144.2157,SBI Long Term Equity Fund Direct Growth,ELSS
119555,-8.0893,-12.7135,-128.4142,SBI Flexicap Fund Direct Growth,Flexi Cap
119847,-9.5115,-15.8563,-150.9908,SBI Magnum Midcap Fund Direct Growth,Mid Cap
119849,-11.9857,-16.1478,-190.2668,SBI Small Cap Fund Direct Growth,Small Cap
120503,-9.1931,-14.9196,-145.9356,ICICI Prudential Bluechip Fund Direct Growth,Large Cap
120505,-8.9433,-20.3823,-141.97,ICICI Prudential Midcap Fund Direct Growth,Mid Cap
120507,-8.6752,-18.809,-137.7147,ICICI Prudential Smallcap Fund Direct Growth,Small Cap
120509,-6.6188,-10.203,-105.0706,ICICI Prudential Long Term Equity Direct Growth,ELSS
120511,-7.8322,-16.0163,-124.3321,ICICI Prudential Flexicap Fund Direct Growth,Flexi Cap
120716,-6.5941,-14.9199,-104.6779,DSP Top 100 Equity Fund Direct Growth,Large Cap
120717,-7.6457,-17.3317,-121.3718,DSP Midcap Fund Direct Growth,Mid Cap
120841,-9.0952,-13.5902,-144.3811,Kotak Bluechip Fund Direct Growth,Large Cap
120846,-9.4923,-20.3192,-150.6855,Kotak Emerging Equity Fund Direct Growth,Mid Cap
120848,-10.8045,-20.3238,-171.5164,Kotak Small Cap Fund Direct Growth,Small Cap
120850,-7.0771,-10.5102,-112.3458,Kotak Flexicap Fund Direct Growth,Flexi Cap
125354,-8.333,-17.4804,-132.2825,Mirae Asset Large Cap Fund Direct Growth,Large Cap
125356,-8.9495,-17.3683,-142.0682,Mirae Asset Emerging Bluechip Direct Growth,Mid Cap
125358,-10.9641,-21.398,-174.0501,Axis Midcap Fund Direct Growth,Mid Cap
125360,-10.3986,-14.5958,-165.0734,Axis Small Cap Fund Direct Growth,Small Cap
125362,-7.5999,-12.3789,-120.6447,Mirae Asset Tax Saver Fund Direct Growth,ELSS
125494,-8.1237,-12.9204,-128.9599,HDFC Mid-Cap Opportunities Fund Direct Growth,Mid Cap
125496,-9.8214,-16.7715,-155.91,HDFC Small Cap Fund Direct Growth,Small Cap
125497,-6.7527,-18.0269,-107.1961,HDFC Top 100 Fund Direct Growth,Large Cap
125499,-7.6148,-20.1259,-120.8808,HDFC ELSS Tax Saver Direct Growth,ELSS
125501,-7.8828,-17.4368,-125.1359,HDFC Flexi Cap Fund Direct Growth,Flexi Cap
