amfi_code,date,nav
125497,03-01-2022,161.6064
125497,04-01-2022,161.411
125497,05-01-2022,162.7382
125497,06-01-2022,165.7857
125497,07-01-2022,165.3944
125497,10-01-2022,165.0042
125497,11-01-2022,168.2053
125497,12-01-2022,169.8301
125497,13-01-2022,168.9497
125497,14-01-2022,170.1257
125497,17-01-2022,169.2562
125497,18-01-2022,168.3865
125497,19-01-2022,168.9511
125497,20-01-2022,165.1482
125497,21-01-2022,161.8041
125497,24-01-2022,160.7851
125497,25-01-2022,158.9033
125497,26-01-2022,159.574
125497,27-01-2022,157.9071
125497,28-01-2022,155.302
125497,31-01-2022,158.1033
125497,01-02-2022,157.7461
125497,02-02-2022,157.9449
125497,03-02-2022,155.3156
125497,04-02-2022,154.3709
125497,07-02-2022,154.6458
125497,08-02-2022,152.5794
125497,09-02-2022,153.336
125497,10-02-2022,152.2998
125497,11-02-2022,151.8352
125497,14-02-2022,150.8072
125497,15-02-2022,154.2271
125497,16-02-2022,154.2716
125497,17-02-2022,152.3829
125497,18-02-2022,153.9556
125497,21-02-2022,151.7694
125497,22-02-2022,152.2181
125497,23-02-2022,148.707
125497,24-02-2022,146.4038
125497,25-02-2022,146.8155
125497,28-02-2022,148.1826
125497,01-03-2022,148.554
125497,02-03-2022,148.4147
125497,03-03-2022,147.9452
125497,04-03-2022,145.3869
125497,07-03-2022,144.1965
125497,08-03-2022,143.4643
125497,09-03-2022,145.3488
125497,10-03-2022,146.0135
125497,11-03-2022,142.9901
125497,14-03-2022,143.6105
125497,15-03-2022,143.0115
125497,16-03-2022,141.9142
125497,17-03-2022,143.0197
125497,18-03-2022,144.8535
125497,21-03-2022,146.5375
125497,22-03-2022,145.1277
125497,23-03-2022,144.6545
125497,24-03-2022,145.2946
125497,25-03-2022,147.0609
125497,28-03-2022,146.2815
125497,29-03-2022,146.0214
125497,30-03-2022,144.1485
125497,31-03-2022,142.1442
125497,01-04-2022,143.5941
125497,04-04-2022,145.9957
125497,05-04-2022,145.9353
125497,06-04-2022,147.7583
125497,07-04-2022,148.466
125497,08-04-2022,147.3835
125497,11-04-2022,148.089
125497,12-04-2022,150.8888
125497,13-04-2022,150.8919
125497,14-04-2022,153.7929
125497,15-04-2022,149.0273
125497,18-04-2022,150.5642
125497,19-04-2022,150.7892
125497,20-04-2022,150.316
125497,21-04-2022,150.5492
125497,22-04-2022,147.0262
125497,25-04-2022,146.7048
125497,26-04-2022,147.3995
125497,27-04-2022,150.0799
125497,28-04-2022,149.2141
125497,29-04-2022,147.8336
125497,02-05-2022,147.01
125497,03-05-2022,148.691
125497,04-05-2022,149.3445
125497,05-05-2022,148.4623
125497,06-05-2022,149.4435
125497,09-05-2022,149.6849
125497,10-05-2022,151.4921
125497,11-05-2022,150.284
125497,12-05-2022,149.7608
125497,13-05-2022,149.1235
125497,16-05-2022,146.5716
125497,17-05-2022,147.1584
125497,18-05-2022,147.6857
125497,19-05-2022,147.7612
125497,20-05-2022,147.4117
125497,23-05-2022,144.9743
125497,24-05-2022,144.3078
125497,25-05-2022,143.7793
125497,26-05-2022,142.4597
125497,27-05-2022,142.2481
125497,30-05-2022,143.0018
125497,31-05-2022,146.3029
125497,01-06-2022,146.6753
125497,02-06-2022,147.1946
125497,03-06-2022,147.1293
125497,06-06-2022,143.8078
125497,07-06-2022,143.8268
125497,08-06-2022,143.9955
125497,09-06-2022,148.3166
125497,10-06-2022,148.041
125497,13-06-2022,148.6433
125497,14-06-2022,148.6483
125497,15-06-2022,146.6305
125497,16-06-2022,148.7074
125497,17-06-2022,150.1161
125497,20-06-2022,151.6086
125497,21-06-2022,150.0224
125497,22-06-2022,152.6153
125497,23-06-2022,150.1167
125497,24-06-2022,151.2414
125497,27-06-2022,155.2849
125497,28-06-2022,153.509
125497,29-06-2022,152.5349
125497,30-06-2022,152.7859
125497,01-07-2022,151.9316
125497,04-07-2022,149.1728
125497,05-07-2022,149.3627
125497,06-07-2022,147.5259
125497,07-07-2022,148.4307
125497,08-07-2022,146.8598
125497,11-07-2022,149.6574
125497,12-07-2022,148.3181
125497,13-07-2022,147.8116
125497,14-07-2022,149.3211
125497,15-07-2022,147.1828
125497,18-07-2022,147.6507
125497,19-07-2022,150.0332
125497,20-07-2022,147.2066
125497,21-07-2022,147.599
125497,22-07-2022,148.1257
125497,25-07-2022,149.5821
125497,26-07-2022,147.4291
125497,27-07-2022,145.1593
125497,28-07-2022,146.1338
125497,29-07-2022,146.7204
125497,01-08-2022,147.2274
125497,02-08-2022,147.9058
125497,03-08-2022,146.7654
125497,04-08-2022,147.2404
125497,05-08-2022,147.8245
125497,08-08-2022,146.6239
125497,09-08-2022,149.9727
125497,10-08-2022,150.8929
125497,11-08-2022,148.8037
125497,12-08-2022,150.043
125497,15-08-2022,148.3556
125497,16-08-2022,149.8236
125497,17-08-2022,151.974
125497,18-08-2022,150.5457
125497,19-08-2022,152.3539
125497,22-08-2022,153.1771
125497,23-08-2022,154.7571
125497,24-08-2022,158.3492
125497,25-08-2022,157.9542
125497,26-08-2022,156.5966
125497,29-08-2022,154.9955
125497,30-08-2022,153.5479
125497,31-08-2022,153.4749
125497,01-09-2022,154.1723
125497,02-09-2022,154.7536
125497,05-09-2022,156.3593
125497,06-09-2022,156.4541
125497,07-09-2022,159.2534
125497,08-09-2022,158.8193
125497,09-09-2022,164.075
125497,12-09-2022,165.3807
125497,13-09-2022,163.754
125497,14-09-2022,161.7234
125497,15-09-2022,162.7325
125497,16-09-2022,162.3693
125497,19-09-2022,163.8336
125497,20-09-2022,164.8377
125497,21-09-2022,164.7678
125497,22-09-2022,163.1676
125497,23-09-2022,160.275
125497,26-09-2022,159.4883
125497,27-09-2022,161.1991
125497,28-09-2022,161.6858
125497,29-09-2022,159.3415
125497,30-09-2022,159.7444
125497,03-10-2022,160.5549
125497,04-10-2022,158.9243
125497,05-10-2022,159.2889
125497,06-10-2022,159.4719
125497,07-10-2022,157.3564
125497,10-10-2022,158.1028
125497,11-10-2022,159.2379
125497,12-10-2022,161.3791
125497,13-10-2022,163.4925
125497,14-10-2022,160.8632
125497,17-10-2022,159.1252
125497,18-10-2022,160.1803
125497,19-10-2022,161.2399
125497,20-10-2022,162.3091
125497,21-10-2022,169.8861
125497,24-10-2022,171.1264
125497,25-10-2022,173.5353
125497,26-10-2022,175.6
125497,27-10-2022,177.0516
125497,28-10-2022,176.4615
125497,31-10-2022,178.148
125497,01-11-2022,176.5761
125497,02-11-2022,176.1537
125497,03-11-2022,175.207
125497,04-11-2022,175.458
125497,07-11-2022,180.4105
125497,08-11-2022,176.4492
125497,09-11-2022,177.9817
125497,10-11-2022,174.6173
125497,11-11-2022,173.707
125497,14-11-2022,176.0551
125497,15-11-2022,176.2701
125497,16-11-2022,174.0698
125497,17-11-2022,172.6539
125497,18-11-2022,174.1396
125497,21-11-2022,172.6918
125497,22-11-2022,173.2181
125497,23-11-2022,173.3907
125497,24-11-2022,172.113
125497,25-11-2022,176.6184
125497,28-11-2022,178.0415
125497,29-11-2022,173.7949
125497,30-11-2022,174.2619
125497,01-12-2022,172.9565
125497,02-12-2022,174.8035
125497,05-12-2022,173.2197
125497,06-12-2022,173.0592
125497,07-12-2022,174.1858
125497,08-12-2022,176.0738
125497,09-12-2022,173.6169
125497,12-12-2022,172.9982
125497,13-12-2022,172.09
125497,14-12-2022,170.8183
125497,15-12-2022,174.514
125497,16-12-2022,175.4407
125497,19-12-2022,172.8651
125497,20-12-2022,174.8469
125497,21-12-2022,179.3782
125497,22-12-2022,181.6813
125497,23-12-2022,178.4506
125497,26-12-2022,177.4939
125497,27-12-2022,180.2722
125497,28-12-2022,178.8225
125497,29-12-2022,179.8553
125497,30-12-2022,181.6081
125497,02-01-2023,179.6698
125497,03-01-2023,179.6223
125497,04-01-2023,172.7167
125497,05-01-2023,170.6713
125497,06-01-2023,170.2308
125497,09-01-2023,167.7585
125497,10-01-2023,171.1202
125497,11-01-2023,168.2605
125497,12-01-2023,167.4477
125497,13-01-2023,167.7857
125497,16-01-2023,170.7631
125497,17-01-2023,167.8977
125497,18-01-2023,170.3167
125497,19-01-2023,170.4143
125497,20-01-2023,168.4838
125497,23-01-2023,169.4939
125497,24-01-2023,169.9751
125497,25-01-2023,168.8273
125497,26-01-2023,169.0447
125497,27-01-2023,168.3391
125497,30-01-2023,168.6442
125497,31-01-2023,170.0601
125497,01-02-2023,173.3732
125497,02-02-2023,170.876
125497,03-02-2023,175.3267
125497,06-02-2023,171.2985
125497,07-02-2023,171.0636
125497,08-02-2023,172.3483
125497,09-02-2023,173.007
125497,10-02-2023,171.792
125497,13-02-2023,171.4403
125497,14-02-2023,170.5032
125497,15-02-2023,169.3741
125497,16-02-2023,171.1771
125497,17-02-2023,171.9875
125497,20-02-2023,170.6348
125497,21-02-2023,172.5536
125497,22-02-2023,173.2676
125497,23-02-2023,175.0357
125497,24-02-2023,176.4369
125497,27-02-2023,174.7611
125497,28-02-2023,173.665
125497,01-03-2023,175.3005
125497,02-03-2023,176.6634
125497,03-03-2023,176.6986
125497,06-03-2023,177.0269
125497,07-03-2023,179.8207
125497,08-03-2023,178.6251
125497,09-03-2023,179.8782
125497,10-03-2023,179.5227
125497,13-03-2023,179.1345
125497,14-03-2023,181.5771
125497,15-03-2023,183.4573
125497,16-03-2023,185.3308
125497,17-03-2023,188.3175
125497,20-03-2023,188.4497
125497,21-03-2023,190.0767
125497,22-03-2023,189.4545
125497,23-03-2023,190.2768
125497,24-03-2023,190.0652
125497,27-03-2023,190.372
125497,28-03-2023,191.8173
125497,29-03-2023,190.0202
125497,30-03-2023,194.8769
125497,31-03-2023,192.612
125497,03-04-2023,189.8922
125497,04-04-2023,192.6167
125497,05-04-2023,194.5332
125497,06-04-2023,196.0777
125497,07-04-2023,197.6444
125497,10-04-2023,197.7043
125497,11-04-2023,195.6646
125497,12-04-2023,195.9306
125497,13-04-2023,194.4266
125497,14-04-2023,196.7892
125497,17-04-2023,196.5305
125497,18-04-2023,194.6721
125497,19-04-2023,194.0089
125497,20-04-2023,195.0576
125497,21-04-2023,193.8259
125497,24-04-2023,192.0007
125497,25-04-2023,192.6485
125497,26-04-2023,193.3015
125497,27-04-2023,192.2126
125497,28-04-2023,191.2126
125497,01-05-2023,191.8311
125497,02-05-2023,188.584
125497,03-05-2023,185.4837
125497,04-05-2023,183.9681
125497,05-05-2023,183.5797
125497,08-05-2023,184.3472
125497,09-05-2023,187.6939
125497,10-05-2023,189.7101
125497,11-05-2023,189.4313
125497,12-05-2023,189.4734
125497,15-05-2023,187.2792
125497,16-05-2023,187.3219
125497,17-05-2023,186.7573
125497,18-05-2023,187.5646
125497,19-05-2023,185.7871
125497,22-05-2023,187.0285
125497,23-05-2023,190.5527
125497,24-05-2023,190.3897
125497,25-05-2023,191.3932
125497,26-05-2023,193.0644
125497,29-05-2023,192.2217
125497,30-05-2023,192.8251
125497,31-05-2023,192.941
125497,01-06-2023,193.254
125497,02-06-2023,191.5483
125497,05-06-2023,191.6909
125497,06-06-2023,192.9227
125497,07-06-2023,196.369
125497,08-06-2023,198.7178
125497,09-06-2023,203.9417
125497,12-06-2023,202.1556
125497,13-06-2023,204.3627
125497,14-06-2023,204.9043
125497,15-06-2023,210.3809
125497,16-06-2023,208.4349
125497,19-06-2023,206.4284
125497,20-06-2023,205.0365
125497,21-06-2023,199.9031
125497,22-06-2023,198.7318
125497,23-06-2023,197.0109
125497,26-06-2023,197.4551
125497,27-06-2023,198.3537
125497,28-06-2023,202.9087
125497,29-06-2023,205.3142
125497,30-06-2023,203.9853
125497,03-07-2023,201.8779
125497,04-07-2023,203.1604
125497,05-07-2023,200.0332
125497,06-07-2023,204.5195
125497,07-07-2023,207.5061
125497,10-07-2023,206.4312
125497,11-07-2023,202.2804
125497,12-07-2023,205.6578
125497,13-07-2023,205.4676
125497,14-07-2023,208.6121
125497,17-07-2023,204.7145
125497,18-07-2023,203.3342
125497,19-07-2023,203.4385
125497,20-07-2023,203.6448
125497,21-07-2023,202.6366
125497,24-07-2023,204.2423
125497,25-07-2023,201.7176
125497,26-07-2023,201.4637
125497,27-07-2023,201.8452
125497,28-07-2023,203.1821
125497,31-07-2023,205.0085
125497,01-08-2023,202.3341
125497,02-08-2023,198.7003
125497,03-08-2023,201.8362
125497,04-08-2023,202.7319
125497,07-08-2023,201.0022
125497,08-08-2023,204.8341
125497,09-08-2023,205.2106
125497,10-08-2023,208.207
125497,11-08-2023,208.4694
125497,14-08-2023,213.7184
125497,15-08-2023,218.3164
125497,16-08-2023,217.7624
125497,17-08-2023,220.3992
125497,18-08-2023,222.2053
125497,21-08-2023,225.9547
125497,22-08-2023,223.44
125497,23-08-2023,225.3801
125497,24-08-2023,228.3441
125497,25-08-2023,223.6276
125497,28-08-2023,220.553
125497,29-08-2023,215.2551
125497,30-08-2023,214.6561
125497,31-08-2023,216.601
125497,01-09-2023,220.6034
125497,04-09-2023,220.8988
125497,05-09-2023,225.3153
125497,06-09-2023,221.6852
125497,07-09-2023,217.2536
125497,08-09-2023,217.2066
125497,11-09-2023,218.3054
125497,12-09-2023,218.3179
125497,13-09-2023,212.9999
125497,14-09-2023,212.8679
125497,15-09-2023,209.6316
125497,18-09-2023,211.4105
125497,19-09-2023,212.4357
125497,20-09-2023,210.1353
125497,21-09-2023,208.9341
125497,22-09-2023,206.3724
125497,25-09-2023,206.3101
125497,26-09-2023,208.7676
125497,27-09-2023,206.3921
125497,28-09-2023,207.7333
125497,29-09-2023,206.505
125497,02-10-2023,204.6331
125497,03-10-2023,204.4624
125497,04-10-2023,202.0144
125497,05-10-2023,200.7631
125497,06-10-2023,197.9676
125497,09-10-2023,202.7241
125497,10-10-2023,202.9011
125497,11-10-2023,201.2887
125497,12-10-2023,201.8962
125497,13-10-2023,201.7149
125497,16-10-2023,201.2708
125497,17-10-2023,202.8447
125497,18-10-2023,204.7799
125497,19-10-2023,203.5684
125497,20-10-2023,202.2534
125497,23-10-2023,201.6768
125497,24-10-2023,196.1967
125497,25-10-2023,192.7176
125497,26-10-2023,195.9654
125497,27-10-2023,199.9219
125497,30-10-2023,199.4144
125497,31-10-2023,200.8838
125497,01-11-2023,201.7245
125497,02-11-2023,209.2683
125497,03-11-2023,212.174
125497,06-11-2023,211.9438
125497,07-11-2023,209.6089
125497,08-11-2023,205.6625
125497,09-11-2023,206.2572
125497,10-11-2023,204.478
125497,13-11-2023,201.0802
125497,14-11-2023,199.6105
125497,15-11-2023,197.1097
125497,16-11-2023,201.189
125497,17-11-2023,203.408
125497,20-11-2023,203.4801
125497,21-11-2023,207.1853
125497,22-11-2023,207.4709
125497,23-11-2023,205.42
125497,24-11-2023,209.267
125497,27-11-2023,210.7145
125497,28-11-2023,208.1865
125497,29-11-2023,207.8047
125497,30-11-2023,205.7147
125497,01-12-2023,202.3938
125497,04-12-2023,204.7343
125497,05-12-2023,209.5175
125497,06-12-2023,206.0955
125497,07-12-2023,207.5805
125497,08-12-2023,206.0532
125497,11-12-2023,204.9414
125497,12-12-2023,203.5768
125497,13-12-2023,201.5577
125497,14-12-2023,201.7658
125497,15-12-2023,199.8447
125497,18-12-2023,200.5832
125497,19-12-2023,200.5526
125497,20-12-2023,200.0678
125497,21-12-2023,197.9789
125497,22-12-2023,196.6977
125497,25-12-2023,198.5692
125497,26-12-2023,199.8522
125497,27-12-2023,197.5977
125497,28-12-2023,197.9222
125497,29-12-2023,199.7958
125497,01-01-2024,195.8833
125497,02-01-2024,197.2486
125497,03-01-2024,195.769
125497,04-01-2024,197.1975
125497,05-01-2024,195.4801
125497,08-01-2024,191.3343
125497,09-01-2024,187.6835
125497,10-01-2024,187.8763
125497,11-01-2024,188.5464
125497,12-01-2024,186.5851
125497,15-01-2024,188.0989
125497,16-01-2024,184.4332
125497,17-01-2024,184.37
125497,18-01-2024,181.7736
125497,19-01-2024,180.4336
125497,22-01-2024,180.6174
125497,23-01-2024,178.8338
125497,24-01-2024,178.089
125497,25-01-2024,180.3197
125497,26-01-2024,179.1525
125497,29-01-2024,181.0298
125497,30-01-2024,178.6571
125497,31-01-2024,179.8733
125497,01-02-2024,183.0659
125497,02-02-2024,177.7186
125497,05-02-2024,176.0991
125497,06-02-2024,177.3978
125497,07-02-2024,177.0454
125497,08-02-2024,177.9135
125497,09-02-2024,176.7041
125497,12-02-2024,176.9672
125497,13-02-2024,176.7163
125497,14-02-2024,179.2722
125497,15-02-2024,179.9002
125497,16-02-2024,180.71
125497,19-02-2024,179.8981
125497,20-02-2024,178.9264
125497,21-02-2024,178.0782
125497,22-02-2024,179.0013
125497,23-02-2024,178.1775
125497,26-02-2024,178.8773
125497,27-02-2024,183.4127
125497,28-02-2024,185.4125
125497,29-02-2024,184.7706
125497,01-03-2024,187.5171
125497,04-03-2024,186.6832
125497,05-03-2024,182.2014
125497,06-03-2024,180.0793
125497,07-03-2024,176.1177
125497,08-03-2024,175.454
125497,11-03-2024,175.5718
125497,12-03-2024,179.1828
125497,13-03-2024,179.9664
125497,14-03-2024,179.5742
125497,15-03-2024,181.4423
125497,18-03-2024,176.7096
125497,19-03-2024,177.2888
125497,20-03-2024,179.0085
