fund_house	quarter	aum_crore	num_schemes
SBI Mutual Fund	31-03-2022	606066	50
SBI Mutual Fund	30-06-2022	632827	52
SBI Mutual Fund	30-09-2022	667853	55
SBI Mutual Fund	31-12-2022	694608	70
SBI Mutual Fund	31-03-2023	755586	33
SBI Mutual Fund	30-06-2023	787985	69
SBI Mutual Fund	30-09-2023	845041	72
SBI Mutual Fund	31-12-2023	903962	75
SBI Mutual Fund	31-03-2024	942820	31
SBI Mutual Fund	30-06-2024	1013304	38
SBI Mutual Fund	30-09-2024	1099395	71
SBI Mutual Fund	31-12-2024	1197355	32
SBI Mutual Fund	31-03-2025	1265909	36
SBI Mutual Fund	30-06-2025	1349261	72
SBI Mutual Fund	30-09-2025	1411542	44
SBI Mutual Fund	31-12-2025	1250000	50
ICICI Prudential Mutual Fund	31-03-2022	516112	74
ICICI Prudential Mutual Fund	30-06-2022	550195	61
ICICI Prudential Mutual Fund	30-09-2022	588500	38
ICICI Prudential Mutual Fund	31-12-2022	636482	44
ICICI Prudential Mutual Fund	31-03-2023	663896	37
ICICI Prudential Mutual Fund	30-06-2023	690697	54
ICICI Prudential Mutual Fund	30-09-2023	720382	69
ICICI Prudential Mutual Fund	31-12-2023	777280	35
ICICI Prudential Mutual Fund	31-03-2024	829389	71
ICICI Prudential Mutual Fund	30-06-2024	875621	37
ICICI Prudential Mutual Fund	30-09-2024	951463	68
ICICI Prudential Mutual Fund	31-12-2024	1009689	41
ICICI Prudential Mutual Fund	31-03-2025	1070618	74
ICICI Prudential Mutual Fund	30-06-2025	1135557	70
ICICI Prudential Mutual Fund	30-09-2025	1216572	34
ICICI Prudential Mutual Fund	31-12-2025	1074000	41
HDFC Mutual Fund	31-03-2022	453509	74
HDFC Mutual Fund	30-06-2022	475614	60
HDFC Mutual Fund	30-09-2022	496185	58
HDFC Mutual Fund	31-12-2022	539177	62
HDFC Mutual Fund	31-03-2023	568895	45
HDFC Mutual Fund	30-06-2023	617279	59
HDFC Mutual Fund	30-09-2023	642379	64
HDFC Mutual Fund	31-12-2023	691723	44
HDFC Mutual Fund	31-03-2024	729716	61
HDFC Mutual Fund	30-06-2024	768510	46
HDFC Mutual Fund	30-09-2024	839426	78
HDFC Mutual Fund	31-12-2024	913547	77
