month,sip_inflow_crore,active_sip_accounts_crore,new_sip_accounts_lakh,sip_aum_lakh_crore,yoy_growth_pct
2022-01,11062,5.05,31.3,21.02,11.3
2022-02,11198,6.71,36.4,21.28,17.3
2022-03,11324,8.75,41.9,21.52,10.3
2022-04,11454,7.54,35.2,21.76,11.0
2022-05,11519,7.24,19.5,21.89,24.0
2022-06,11666,5.53,30.3,22.16,20.7
2022-07,11824,9.45,18.5,22.47,18.6
2022-08,11978,8.58,32.6,22.76,13.3
2022-09,12105,6.76,29.0,23.0,15.9
2022-10,12183,8.32,37.1,23.15,19.8
2022-11,12287,8.7,22.3,23.35,17.8
2022-12,12429,8.7,35.5,23.62,12.1
2023-01,12504,5.23,33.1,23.76,14.4
2023-02,12586,5.38,35.3,23.91,23.6
2023-03,12757,7.68,27.6,24.24,18.5
2023-04,12902,8.21,35.4,24.51,27.3
2023-05,13063,8.38,40.1,24.82,18.3
2023-06,13163,8.67,30.5,25.01,20.9
2023-07,13286,6.78,36.1,25.24,22.0
2023-08,13393,5.85,21.5,25.45,12.0
2023-09,13570,6.29,36.3,25.78,15.2
2023-10,13728,9.43,19.8,26.08,21.8
2023-11,13835,5.37,20.1,26.29,16.7
2023-12,13979,7.91,33.3,26.56,26.2
2024-01,14071,8.73,32.3,26.73,25.5
2024-02,14201,7.17,29.4,26.98,11.7
2024-03,14293,7.33,32.4,27.16,18.4
2024-04,14366,7.28,21.6,27.3,20.2
2024-05,14479,9.46,27.7,27.51,24.8
2024-06,14587,5.85,24.0,27.72,16.0
2024-07,14784,8.44,29.8,28.09,13.4
2024-08,14865,7.78,37.1,28.24,20.9
2024-09,15014,9.38,18.7,28.53,27.8
2024-10,15130,6.72,38.3,28.75,14.1
2024-11,15313,6.5,43.4,29.1,13.1
2024-12,15533,8.56,22.6,29.51,17.0
2025-01,15627,7.7,43.9,29.69,11.4
2025-02,15745,8.4,30.4,29.92,16.1
2025-03,15918,6.32,26.9,30.24,24.5
2025-04,16060,8.15,22.1,30.51,17.2
2025-05,16229,6.2,29.4,30.84,23.7
2025-06,16337,7.25,25.1,31.04,17.4
2025-07,16480,7.95,38.7,31.31,19.0
2025-08,16589,8.91,23.0,31.52,20.4
2025-09,16760,6.29,43.7,31.84,22.2
2025-10,16922,7.0,20.5,32.15,24.1
2025-11,17021,5.9,22.4,32.34,11.2
2025-12,31002,9.35,34.9,32.77,25.8
