month	category	net_inflow_crore	gross_purchase_crore	gross_redemption_crore
2024-04	Large Cap	4751	8551	3801
2024-04	Mid Cap	4850	8730	3880
2024-04	Small Cap	6895	12410	5516
2024-04	ELSS	-1081	1945	865
2024-04	Liquid	-1453	2615	1162
2024-04	Short Duration	-1464	2635	1171
2024-04	Flexi Cap	2179	3922	1743
2024-04	Aggressive Hybrid	7464	13435	5971
2024-04	Multi Cap	6699	12059	5359
2024-04	Index Funds	5820	10475	4656
2024-04	Gilt	2039	3670	1631
2024-04	Overnight	6242	11235	4993
2024-05	Large Cap	185	333	148
2024-05	Mid Cap	3854	6936	3083
2024-05	Small Cap	5459	9827	4367
2024-05	ELSS	-1076	1936	860
2024-05	Liquid	6741	12134	5393
2024-05	Short Duration	5273	9492	4219
2024-05	Flexi Cap	3333	5999	2666
2024-05	Aggressive Hybrid	-1376	2477	1101
2024-05	Multi Cap	4945	8901	3956
2024-05	Index Funds	2473	4451	1978
2024-05	Gilt	5367	9660	4293
2024-05	Overnight	-1636	2945	1309
2024-06	Large Cap	3748	6746	2998
2024-06	Mid Cap	2470	4446	1976
2024-06	Small Cap	2298	4137	1839
2024-06	ELSS	3176	5716	2541
2024-06	Liquid	-763	1374	611
2024-06	Short Duration	7355	13238	5884
2024-06	Flexi Cap	5047	9085	4038
2024-06	Aggressive Hybrid	-1152	2073	921
2024-06	Multi Cap	-1205	2170	964
2024-06	Index Funds	107	192	85
2024-06	Gilt	397	715	318
2024-06	Overnight	2922	5259	2337
2024-07	Large Cap	3365	6056	2692
2024-07	Mid Cap	-542	975	434
2024-07	Small Cap	7735	13924	6188
2024-07	ELSS	6248	11246	4998
2024-07	Liquid	4335	7803	3468
2024-07	Short Duration	779	1402	623
2024-07	Flexi Cap	7103	12786	5683
2024-07	Aggressive Hybrid	1152	2074	922
2024-07	Multi Cap	1192	2146	954
2024-07	Index Funds	1529	2753	1223
2024-07	Gilt	-1521	2737	1217
2024-07	Overnight	-1381	2487	1105
2024-08	Large Cap	2758	4964	2206
