month,category,folio_count_crore
2022-01,Equity,9.0
2022-01,Debt,1.92
2022-01,Hybrid,2.27
2022-04,Equity,9.53
2022-04,Debt,2.02
2022-04,Hybrid,2.39
2022-07,Equity,9.93
2022-07,Debt,2.09
2022-07,Hybrid,2.48
2022-10,Equity,10.33
2022-10,Debt,2.18
2022-10,Hybrid,2.64
2023-01,Equity,10.93
2023-01,Debt,2.25
2023-01,Hybrid,2.82
2023-04,Equity,11.57
2023-04,Debt,2.36
2023-04,Hybrid,2.95
2023-07,Equity,12.35
2023-07,Debt,2.49
2023-07,Hybrid,3.1
2023-10,Equity,13.1
2023-10,Debt,2.62
2023-10,Hybrid,3.23
2024-01,Equity,14.02
2024-01,Debt,2.73
2024-01,Hybrid,3.41
2024-04,Equity,14.71
2024-04,Debt,2.82
2024-04,Hybrid,3.64
2024-07,Equity,15.35
2024-07,Debt,2.98
2024-07,Hybrid,3.86
2024-10,Equity,16.05
2024-10,Debt,3.1
2024-10,Hybrid,3.99
2025-01,Equity,17.15
2025-01,Debt,3.27
2025-01,Hybrid,4.22
2025-04,Equity,17.98
2025-04,Debt,3.4
2025-04,Hybrid,4.51
2025-07,Equity,19.22
2025-07,Debt,3.62
2025-07,Hybrid,4.82
2025-10,Equity,20.24
2025-10,Debt,3.78
2025-10,Hybrid,5.03
