amfi_code	scheme_name	return_1yr_pct	return_3yr_pct	return_5yr_pct	benchmark_3yr_pct	alpha	beta	sharpe_ratio	sortino_ratio	std_dev_ann_pct	max_drawdown_pct	morningstar_rating
125497	HDFC Top 100 Fund Direct Growth	27.34	19.75	15.2	18.35	1.4	1.02	1.93	2.31	20.18	-18.57	4
119551	SBI Blue Chip Fund Direct Growth	21.51	14.86	14.18	13.95	0.91	0.94	1.47	1.76	12.52	-12.41	3
120503	ICICI Prudential Bluechip Fund Direct Growth	18.22	17.14	15.75	14.65	2.49	0.76	1.74	2.09	14.92	-30.71	5
118632	Nippon India Large Cap Fund Direct Growth	19.73	19.57	13.31	17.37	2.2	1.09	1.59	1.91	16.08	-29.16	4
119092	Axis Bluechip Fund Direct Growth	22.09	14.16	14.96	12.73	1.43	1.09	1.67	2	17.41	-25.4	5
120841	Kotak Bluechip Fund Direct Growth	24.08	14.19	16.75	13.86	0.33	0.97	1.23	1.47	18.76	-17.74	4
125354	Mirae Asset Large Cap Fund Direct Growth	23.24	19.75	17.77	19.27	0.48	0.75	1.11	1.33	16.67	-15.36	4
120716	DSP Top 100 Equity Fund Direct Growth	22.85	17.96	15.2	16.09	1.87	1.13	1.56	1.87	21.47	-26.14	3
125494	HDFC Mid-Cap Opportunities Fund Direct Growth	33.55	24.53	16.9	22.57	1.96	0.79	1.87	2.24	12.87	-29.5	5
119847	SBI Magnum Midcap Fund Direct Growth	29.64	27.23	19.05	25.07	2.16	0.91	2.02	2.43	16.86	-28.33	4
120505	ICICI Prudential Midcap Fund Direct Growth	32.19	20.36	16.89	19.77	0.58	1.03	1.01	1.22	14.94	-31.22	5
118989	Nippon India Growth Fund Direct Growth	23.43	22.54	22.33	19.39	3.15	0.88	1.65	1.98	17.16	-12.82	4
120846	Kotak Emerging Equity Fund Direct Growth	26.79	23.63	17.28	22.29	1.34	1.08	1.57	1.88	20.89	-10.68	3
125356	Mirae Asset Emerging Bluechip Direct Growth	27.81	20.66	21.87	20.2	0.46	0.73	1.83	2.19	16.86	-16.02	5
120717	DSP Midcap Fund Direct Growth	30.5	23.91	20.27	20.5	3.41	1.14	2.19	2.63	15.34	-29.37	3
125358	Axis Midcap Fund Direct Growth	31.19	21.77	22.39	19.12	2.64	0.86	1.83	2.2	17.91	-15.93	3
125496	HDFC Small Cap Fund Direct Growth	48.55	28.6	21.09	26.81	1.78	1.13	1.85	2.22	9.03	-20.42	4
119849	SBI Small Cap Fund Direct Growth	34.83	31.98	20.33	28.55	3.43	0.91	1.87	2.25	9.91	-10.85	4
120507	ICICI Prudential Smallcap Fund Direct Growth	42.19	33.35	25.46	30.49	2.87	1.01	0.85	1.02	21.97	-13.17	3
118991	Nippon India Small Cap Fund Direct Growth	28.56	24.2	18.87	21.18	3.02	1	1.55	1.86	20.86	-15.04	5
120848	Kotak Small Cap Fund Direct Growth	38.6	30.85	21.63	29.03	1.81	0.87	1.67	2	12.38	-11.74	4
125360	Axis Small Cap Fund Direct Growth	30.65	32.98	18.93	32	0.99	0.75	1.1	1.32	9.04	-25.73	3
125499	HDFC ELSS Tax Saver Direct Growth	29.34	16.34	16.98	15	1.34	1.01	1.26	1.51	15.02	-19.39	5
119553	SBI Long Term Equity Fund Direct Growth	20.06	20.34	14.58	19.27	1.07	1.12	1.09	1.31	12.13	-14.76	4
120509	ICICI Prudential Long Term Equity Direct Growth	26.61	20.58	15.78	20.15	0.43	1.06	1.31	1.58	12.91	-29.1	4
125362	Mirae Asset Tax Saver Fund Direct Growth	18.89	20.28	14.93	19.14	1.14	1.05	0.88	1.06	15.6	-15.54	3
125501	HDFC Flexi Cap Fund Direct Growth	19.59	13.96	13.83	13.31	0.66	0.87	1.24	1.49	19.04	-27.96	3
119555	SBI Flexicap Fund Direct Growth	20.47	15.06	12.42	14.63	0.44	0.85	1.65	1.98	12.87	-24.32	5
120511	ICICI Prudential Flexicap Fund Direct Growth	19.2	15.82	17.4	13.5	2.32	1.1	1.67	2.01	13.84	-17.43	5
120850	Kotak Flexicap Fund Direct Growth	17.45	19.69	13.14	18.01	1.69	0.86	1.34	1.6	18.97	-27.14	4
119000	HDFC Liquid Fund Direct Growth	6.93	6.39	5.16	5.58	0.81	1.04	0.56	0.67	10.26	-20.61	4
119001	SBI Liquid Fund Direct Growth	6.89	5.92	5.5	5.61	0.31	0.96	0.57	0.68	17.27	-24.66	4
119002	ICICI Prudential Liquid Fund Direct Growth	6.97	5.86	5.85	5.13	0.72	0.79	0.9	1.08	17.8	-27.23	4
119003	Nippon India Liquid Fund Direct Growth	6.98	6.39	5.91	5.66	0.73	1.08	0.68	0.82	14.87	-27.22	4
119004	HDFC Short Term Debt Fund Direct Growth	7.7	7.1	7.16	6.68	0.42	0.97	1.73	2.08	9.82	-24.45	4
119005	SBI Short Term Debt Fund Direct Growth	8.44	7.15	6	6.54	0.61	0.78	1.12	1.34	11.97	-31.69	4
119006	HDFC Hybrid Equity Fund Direct Growth	17.71	19.14	13.99	17.92	1.21	1.14	2	2.4	10.94	-31.68	3
119007	ICICI Prudential Equity & Debt Fund Direct Growth	17.88	17.06	15.2	15.74	1.32	1.08	1.71	2.05	11.81	-20.01	4
119008	SBI Equity Hybrid Fund Direct Growth	18.33	14.08	15.67	12.07	2.01	1.1	1.78	2.14	12.81	-23.84	5
119009	Mirae Asset Hybrid Equity Fund Direct Growth	23.54	18.98	14.01	16.14	2.84	0.79	1.23	1.47	16.66	-27.17	4
