investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
INV000001,29-07-2022,119004,SIP,500,Kerala,Chennai,T30,18-25,Male,22.7,Cheque,Verified
INV000001,14-05-2024,120503,SIP,25000,Kerala,Chennai,T30,18-25,Male,22.7,UPI,Verified
INV000001,24-03-2023,120717,Redemption,10000,Kerala,Chennai,T30,18-25,Male,22.7,Cheque,Verified
INV000001,24-02-2022,119005,SIP,500,Kerala,Chennai,T30,18-25,Male,22.7,Cheque,Verified
INV000001,09-05-2024,120717,Lumpsum,50000,Kerala,Chennai,T30,18-25,Male,22.7,Cheque,Verified
INV000001,24-07-2023,125497,SIP,100000,Kerala,Chennai,T30,18-25,Male,22.7,Mandate,Verified
INV000001,28-11-2023,119849,SIP,1000,Kerala,Chennai,T30,18-25,Male,22.7,UPI,Verified
INV000001,21-11-2023,125354,SIP,3000,Kerala,Chennai,T30,18-25,Male,22.7,Mandate,Verified
INV000001,18-07-2022,125499,SIP,25000,Kerala,Chennai,T30,18-25,Male,22.7,Cheque,Verified
INV000002,15-02-2024,120841,Redemption,500,Kerala,Surat,T30,36-45,Male,14.6,Net Banking,Verified
INV000002,11-07-2025,119009,SIP,50000,Kerala,Surat,T30,36-45,Male,14.6,Cheque,Verified
INV000002,29-01-2023,119092,SIP,100000,Kerala,Surat,T30,36-45,Male,14.6,UPI,Verified
INV000002,16-08-2023,120841,SIP,50000,Kerala,Surat,T30,36-45,Male,14.6,UPI,Verified
INV000002,18-02-2024,119849,Lumpsum,1000,Kerala,Surat,T30,36-45,Male,14.6,Net Banking,Verified
INV000002,30-11-2022,119553,SIP,50000,Kerala,Surat,T30,36-45,Male,14.6,UPI,Verified
INV000002,04-10-2025,119849,SIP,50000,Kerala,Surat,T30,36-45,Male,14.6,Cheque,Verified
INV000002,24-07-2025,120505,Redemption,1000,Kerala,Surat,T30,36-45,Male,14.6,UPI,Verified
INV000002,01-12-2022,120850,Lumpsum,100000,Kerala,Surat,T30,36-45,Male,14.6,Net Banking,Verified
INV000002,03-08-2025,119005,SIP,500,Kerala,Surat,T30,36-45,Male,14.6,Net Banking,Verified
INV000002,25-04-2022,120717,SIP,25000,Kerala,Surat,T30,36-45,Male,14.6,Net Banking,Verified
INV000002,01-04-2024,119849,SIP,1000,Kerala,Surat,T30,36-45,Male,14.6,UPI,Verified
INV000002,07-03-2025,120848,SIP,50000,Kerala,Surat,T30,36-45,Male,14.6,Mandate,Verified
INV000003,23-02-2025,119004,SIP,5000,Telangana,Hyderabad,T30,46-55,Female,31.3,Cheque,Verified
INV000003,27-05-2024,119007,Lumpsum,100000,Telangana,Hyderabad,T30,46-55,Female,31.3,Net Banking,Verified
INV000003,26-03-2023,125494,Redemption,500,Telangana,Hyderabad,T30,46-55,Female,31.3,Mandate,Verified
