amfi_code	report_date	stock_symbol	stock_name	sector	weight_pct
125497	31-12-2025	SUNPHARMA	Sun Pharma	Pharma	2.45
125497	31-12-2025	TCS	TCS	IT	20.91
125497	31-12-2025	ITC	ITC	FMCG	10.73
125497	31-12-2025	BHARTIARTL	Airtel	Telecom	12.86
125497	31-12-2025	ULTRACEMCO	UltraTech	Cement	3.35
125497	31-12-2025	HDFCBANK	HDFC Bank	Banking	3.08
125497	31-12-2025	TITAN	Titan	Consumer	16.65
125497	31-12-2025	MARUTI	Maruti Suzuki	Auto	11.89
125497	31-12-2025	HINDUNILVR	HUL	FMCG	13.09
125497	31-12-2025	NESTLEIND	Nestle	FMCG	4.99
119551	31-12-2025	AXISBANK	Axis Bank	Banking	5.2
119551	31-12-2025	ICICIBANK	ICICI Bank	Banking	6.86
119551	31-12-2025	KOTAKBANK	Kotak Bank	Banking	1.5
119551	31-12-2025	NESTLEIND	Nestle	FMCG	5.85
119551	31-12-2025	HINDUNILVR	HUL	FMCG	12.54
119551	31-12-2025	HDFCBANK	HDFC Bank	Banking	25.57
119551	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	29.98
119551	31-12-2025	WIPRO	Wipro	IT	3.65
119551	31-12-2025	RELIANCE	Reliance Industries	Energy	2.21
119551	31-12-2025	INFY	Infosys	IT	6.62
120503	31-12-2025	LT	L&T	Infrastructure	27.99
120503	31-12-2025	INFY	Infosys	IT	8.24
120503	31-12-2025	HINDUNILVR	HUL	FMCG	14.03
120503	31-12-2025	KOTAKBANK	Kotak Bank	Banking	1.12
120503	31-12-2025	RELIANCE	Reliance Industries	Energy	5.99
120503	31-12-2025	TCS	TCS	IT	8.08
120503	31-12-2025	ULTRACEMCO	UltraTech	Cement	3.04
120503	31-12-2025	ICICIBANK	ICICI Bank	Banking	3.55
120503	31-12-2025	WIPRO	Wipro	IT	17.47
120503	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	5.66
120503	31-12-2025	MARUTI	Maruti Suzuki	Auto	4.8
118632	31-12-2025	ASIANPAINT	Asian Paints	Consumer	9.37
118632	31-12-2025	BAJFINANCE	Bajaj Finance	NBFC	2.72
118632	31-12-2025	HINDUNILVR	HUL	FMCG	12.88
118632	31-12-2025	WIPRO	Wipro	IT	25.02
118632	31-12-2025	SBIN	SBI	Banking	10.73
118632	31-12-2025	ICICIBANK	ICICI Bank	Banking	12.07
118632	31-12-2025	RELIANCE	Reliance Industries	Energy	10.63
118632	31-12-2025	BHARTIARTL	Airtel	Telecom	16.59
